"ANO_EXERCICIO","COD_REFERENCIA","COD_ESFE","COD_ORUN_O","PRD_TBO0ORUN_1_TIT_CLASSIFICADOR","COD_ORUN_U","PRD_TBO0ORUN_TIT_CLASSIFICADOR","COD_FUNC","PRD_TBO0FUNC_TIT_CLASSIFICADOR","COD_SBFU","PRD_TBO0SBFU_TIT_CLASSIFICADOR","COD_PROG","PRD_TBO0PROG_TIT_CLASSIFICADOR","COD_ACAO","NOM_ACAO","COD_LOCG","NOM_LOCG","COD_BEMS","DES_BEM_SERVICO","COD_UNIDADE_MED","TIT_UNIDADE_MED"
2008,891197,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","121","Planejamento e Orçamento","1067","Gestão da Política de Educação","11T40000","Implantação do Sistema de Monitoramento e Avaliação da Efetividade das Políticas Educacionais",,,"AAFI","Sistema Implantado",160,"% de execução física"
2008,891306,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","121","Planejamento e Orçamento","1067","Gestão da Política de Educação","11T40000","Implantação do Sistema de Monitoramento e Avaliação da Efetividade das Políticas Educacionais","11T40001","Nacional","AAFI","Sistema Implantado",160,"% de execução física"
2008,845776,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","0750","Apoio Administrativo","09HB0000","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais",,,"0000","-",205,"-"
2008,848214,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","0750","Apoio Administrativo","09HB0000","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais","09HB0001","Nacional","0000","-",205,"-"
2008,130044,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","0750","Apoio Administrativo","20000000","Administração da Unidade",,,"0000","-",205,"-"
2008,830424,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","0750","Apoio Administrativo","20000000","Administração da Unidade","20000053","No Distrito Federal","0000","-",205,"-"
2008,845784,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1060","Brasil Alfabetizado e Educação de Jovens e Adultos","22720000","Gestão e Administração do Programa",,,"0000","-",205,"-"
2008,848222,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1060","Brasil Alfabetizado e Educação de Jovens e Adultos","22720000","Gestão e Administração do Programa","22720001","Nacional","0000","-",205,"-"
2008,845825,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1062","Desenvolvimento da Educação Profissional e Tecnológica","22720000","Gestão e Administração do Programa",,,"0000","-",205,"-"
2008,848264,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1062","Desenvolvimento da Educação Profissional e Tecnológica","22720000","Gestão e Administração do Programa","22720001","Nacional","0000","-",205,"-"
