ANO_EXERCICIO;COD_REFERENCIA;COD_ORUN_O;COD_ORUN_U;COD_ESFE;COD_FUNC;COD_SBFU;COD_PROG;COD_ACAO;COD_LOCG;COD_MOMENTO
2008;891306;26000O;26101U;10;12;121;1067;11T40000;11T40001;1
2008;891197;26000O;26101U;10;12;121;1067;11T40000;;1
2008;848214;26000O;26101U;10;12;122;0750;09HB0000;09HB0001;5
2008;845776;26000O;26101U;10;12;122;0750;09HB0000;;5
2008;830424;26000O;26101U;10;12;122;0750;20000000;20000053;1
2008;830424;26000O;26101U;10;12;122;0750;20000000;20000053;5
2008;130044;26000O;26101U;10;12;122;0750;20000000;;1
2008;130044;26000O;26101U;10;12;122;0750;20000000;;5
2008;848222;26000O;26101U;10;12;122;1060;22720000;22720001;1
2008;848222;26000O;26101U;10;12;122;1060;22720000;22720001;5
2008;845784;26000O;26101U;10;12;122;1060;22720000;;1
2008;845784;26000O;26101U;10;12;122;1060;22720000;;5
2008;848264;26000O;26101U;10;12;122;1062;22720000;22720001;1
2008;848264;26000O;26101U;10;12;122;1062;22720000;22720001;5
2008;845825;26000O;26101U;10;12;122;1062;22720000;;1
2008;845825;26000O;26101U;10;12;122;1062;22720000;;5
2008;830651;26000O;26101U;10;12;122;1067;20140000;20140001;1
2008;828128;26000O;26101U;10;12;122;1067;20140000;;1
2008;848562;26000O;26101U;10;12;122;1067;22720000;22720001;1
2008;848562;26000O;26101U;10;12;122;1067;22720000;22720001;5
2008;846122;26000O;26101U;10;12;122;1067;22720000;;1
2008;846122;26000O;26101U;10;12;122;1067;22720000;;5
2008;830652;26000O;26101U;10;12;122;1067;40810000;40810001;1
2008;828129;26000O;26101U;10;12;122;1067;40810000;;1
2008;830679;26000O;26101U;10;12;122;1067;40820000;40820001;1
2008;828092;26000O;26101U;10;12;122;1067;40820000;;1
2008;830682;26000O;26101U;10;12;122;1067;40830000;40830001;1
2008;828096;26000O;26101U;10;12;122;1067;40830000;;1
2008;848566;26000O;26101U;10;12;122;1067;82410000;82410001;1
2008;846126;26000O;26101U;10;12;122;1067;82410000;;1
2008;848567;26000O;26101U;10;12;122;1067;82550000;82550001;1
2008;846127;26000O;26101U;10;12;122;1067;82550000;;1
2008;848560;26000O;26101U;10;12;122;1067;83730000;83730001;1
2008;846120;26000O;26101U;10;12;122;1067;83730000;;1
2008;848599;26000O;26101U;10;12;122;1073;22720000;22720001;1
2008;848599;26000O;26101U;10;12;122;1073;22720000;22720001;5
2008;846147;26000O;26101U;10;12;122;1073;22720000;;1
2008;846147;26000O;26101U;10;12;122;1073;22720000;;5
2008;848794;26000O;26101U;10;12;122;1374;22720000;22720001;1
2008;848794;26000O;26101U;10;12;122;1374;22720000;22720001;5
2008;846342;26000O;26101U;10;12;122;1374;22720000;;1
2008;846342;26000O;26101U;10;12;122;1374;22720000;;5
2008;848900;26000O;26101U;10;12;122;1377;22720000;22720001;1
2008;848900;26000O;26101U;10;12;122;1377;22720000;22720001;5
2008;846441;26000O;26101U;10;12;122;1377;22720000;;1
2008;846441;26000O;26101U;10;12;122;1377;22720000;;5
2008;896866;26000O;26101U;10;12;122;1448;22720000;22720001;1
2008;896865;26000O;26101U;10;12;122;1448;22720000;;1
2008;871309;26000O;26101U;10;12;126;1067;41720000;41720001;1
2008;871161;26000O;26101U;10;12;126;1067;41720000;;1
2008;891380;26000O;26101U;10;12;128;1061;84340000;84340001;1
2008;891148;26000O;26101U;10;12;128;1061;84340000;;1
2008;830683;26000O;26101U;10;12;128;1067;45720000;45720001;1
2008;828097;26000O;26101U;10;12;128;1067;45720000;;1
2008;830815;26000O;26101U;10;12;131;1060;46410000;46410001;1
2008;828015;26000O;26101U;10;12;131;1060;46410000;;1
2008;830816;26000O;26101U;10;12;131;1062;46410000;46410001;1
2008;828016;26000O;26101U;10;12;131;1062;46410000;;1
2008;836350;26000O;26101U;10;12;131;1067;46410000;46410001;1
2008;836349;26000O;26101U;10;12;131;1067;46410000;;1
2008;848793;26000O;26101U;10;12;131;1374;46410000;46410001;1
2008;846341;26000O;26101U;10;12;131;1374;46410000;;1
2008;883130;26000O;26101U;10;12;212;0681;0E440000;0E440056;1
2008;882448;26000O;26101U;10;12;212;0681;0E440000;;1
2008;241575;26000O;26101U;10;12;212;0681;00570000;00570001;1
2008;241563;26000O;26101U;10;12;212;0681;00570000;;1
2008;888972;26000O;26101U;10;12;212;0681;007B0000;007B0001;1
2008;888971;26000O;26101U;10;12;212;0681;007B0000;;1
2008;221621;26000O;26101U;10;12;212;0681;01450000;01450001;1
2008;234206;26000O;26101U;10;12;212;0681;01450000;;1
2008;221613;26000O;26101U;10;12;212;0681;01530000;01530001;1
2008;130030;26000O;26101U;10;12;212;0681;01530000;;1
2008;888999;26000O;26101U;10;12;212;0681;01910000;01910001;1
2008;888998;26000O;26101U;10;12;212;0681;01910000;;1
2008;808993;26000O;26101U;10;12;212;0681;03640000;03640001;1
2008;808960;26000O;26101U;10;12;212;0681;03640000;;1
2008;830420;26000O;26101U;10;12;306;0750;20120000;20120053;4
2008;828211;26000O;26101U;10;12;306;0750;20120000;;4
2008;830417;26000O;26101U;10;12;331;0750;20110000;20110053;4
2008;828208;26000O;26101U;10;12;331;0750;20110000;;4
2008;880487;26000O;26101U;10;12;363;1062;1H070000;1H070101;1
2008;880418;26000O;26101U;10;12;363;1062;1H070000;;1
2008;891385;26000O;26101U;10;12;363;1062;1I710000;1I710101;1
2008;880424;26000O;26101U;10;12;363;1062;1I710000;;1
2008;891387;26000O;26101U;10;12;363;1062;1I730000;1I730101;1
2008;880425;26000O;26101U;10;12;363;1062;1I730000;;1
2008;891388;26000O;26101U;10;12;363;1062;1I740000;1I740101;1
2008;880426;26000O;26101U;10;12;363;1062;1I740000;;1
2008;881390;26000O;26101U;10;12;363;1062;1I750000;1I750101;1
2008;880427;26000O;26101U;10;12;363;1062;1I750000;;1
2008;880498;26000O;26101U;10;12;363;1062;1I770000;1I770011;1
2008;880428;26000O;26101U;10;12;363;1062;1I770000;;1
2008;880499;26000O;26101U;10;12;363;1062;1I780000;1I780101;1
2008;880429;26000O;26101U;10;12;363;1062;1I780000;;1
2008;891386;26000O;26101U;10;12;363;1062;10FJ0000;10FJ0101;1
2008;891157;26000O;26101U;10;12;363;1062;10FJ0000;;1
2008;891531;26000O;26101U;10;12;363;1062;10FU0000;10FU0053;1
2008;891189;26000O;26101U;10;12;363;1062;10FU0000;;1
2008;896948;26000O;26101U;10;12;363;1062;20AW0000;20AW0001;1
2008;896947;26000O;26101U;10;12;363;1062;20AW0000;;1
2008;832855;26000O;26101U;10;12;363;1062;63530000;63530001;1
2008;830211;26000O;26101U;10;12;363;1062;63530000;;1
2008;894604;26000O;26101U;10;12;363;1062;63580000;63580001;1
2008;894601;26000O;26101U;10;12;363;1062;63580000;;1
2008;832969;26000O;26101U;10;12;363;1062;63800000;63800001;1
2008;832965;26000O;26101U;10;12;363;1062;63800000;;1
2008;891532;26000O;26101U;10;12;363;1062;86500000;86500001;1
2008;891190;26000O;26101U;10;12;363;1062;86500000;;1
2008;891533;26000O;26101U;10;12;363;1062;86520000;86520001;1
2008;891191;26000O;26101U;10;12;363;1062;86520000;;1
2008;869923;26000O;26101U;10;12;364;1073;0A120000;0A120001;1
2008;869922;26000O;26101U;10;12;364;1073;0A120000;;1
2008;891307;26000O;26101U;10;12;364;1073;009E0000;009E0001;1
2008;891199;26000O;26101U;10;12;364;1073;009E0000;;1
2008;880560;26000O;26101U;10;12;364;1073;1H960000;1H960043;1
2008;880477;26000O;26101U;10;12;364;1073;1H960000;;1
2008;897013;26000O;26101U;10;12;364;1073;40020000;40020001;1
2008;897012;26000O;26101U;10;12;364;1073;40020000;;1
2008;830649;26000O;26101U;10;12;364;1073;40050000;40050001;1
2008;828126;26000O;26101U;10;12;364;1073;40050000;;1
2008;830694;26000O;26101U;10;12;364;1073;44130000;44130001;1
2008;828108;26000O;26101U;10;12;364;1073;44130000;;1
2008;830631;26000O;26101U;10;12;364;1073;63280000;63280001;1
2008;828150;26000O;26101U;10;12;364;1073;63280000;;1
2008;830645;26000O;26101U;10;12;364;1073;63440000;63440001;1
2008;828122;26000O;26101U;10;12;364;1073;63440000;;1
2008;891547;26000O;26101U;10;12;364;1073;82820000;82820001;1
2008;891200;26000O;26101U;10;12;364;1073;82820000;;1
2008;848598;26000O;26101U;10;12;364;1073;85510000;85510001;1
2008;846146;26000O;26101U;10;12;364;1073;85510000;;1
2008;880569;26000O;26101U;10;12;364;1377;2C680000;2C680001;1
2008;880484;26000O;26101U;10;12;364;1377;2C680000;;1
2008;830414;26000O;26101U;10;12;365;0750;20100000;20100053;4
2008;828205;26000O;26101U;10;12;365;0750;20100000;;4
2008;891275;26000O;26101U;10;12;366;1060;85260000;85260001;1
2008;891130;26000O;26101U;10;12;366;1060;85260000;;1
2008;848792;26000O;26101U;10;12;367;1374;83710000;83710001;1
2008;846340;26000O;26101U;10;12;367;1374;83710000;;1
2008;871294;26000O;26101U;10;28;843;0905;02830000;02830001;7
2008;871148;26000O;26101U;10;28;843;0905;02830000;;7
2008;871295;26000O;26101U;10;28;844;0906;02840000;02840001;7
2008;871149;26000O;26101U;10;28;844;0906;02840000;;7
2008;227757;26000O;26101U;20;09;272;0089;01810000;01810001;5
2008;130034;26000O;26101U;20;09;272;0089;01810000;;5
2008;830411;26000O;26101U;20;12;301;0750;20040000;20040053;4
2008;828202;26000O;26101U;20;12;301;0750;20040000;;4
2008;832970;26000O;26101U;20;12;302;1073;63790000;63790001;1
2008;832963;26000O;26101U;20;12;302;1073;63790000;;1
2008;848246;26000O;26104U;10;12;122;1374;09HB0000;09HB0001;5
2008;845808;26000O;26104U;10;12;122;1374;09HB0000;;5
2008;831984;26000O;26104U;10;12;128;1067;45720000;45720033;1
2008;829307;26000O;26104U;10;12;128;1067;45720000;;1
2008;848791;26000O;26104U;10;12;128;1374;63190000;63190001;1
2008;846339;26000O;26104U;10;12;128;1374;63190000;;1
2008;830669;26000O;26104U;10;12;306;0750;20120000;20120033;4
2008;828082;26000O;26104U;10;12;306;0750;20120000;;4
2008;830668;26000O;26104U;10;12;331;0750;20110000;20110033;4
2008;828081;26000O;26104U;10;12;331;0750;20110000;;4
2008;830667;26000O;26104U;10;12;365;0750;20100000;20100033;4
2008;828080;26000O;26104U;10;12;365;0750;20100000;;4
2008;891545;26000O;26104U;10;12;367;1374;61410000;61410033;1
2008;891227;26000O;26104U;10;12;367;1374;61410000;;1
2008;848788;26000O;26104U;10;12;367;1374;63210000;63210101;1
2008;848788;26000O;26104U;10;12;367;1374;63210000;63210101;5
2008;846336;26000O;26104U;10;12;367;1374;63210000;;1
2008;846336;26000O;26104U;10;12;367;1374;63210000;;5
2008;848786;26000O;26104U;10;12;573;1374;82430000;82430001;1
2008;846334;26000O;26104U;10;12;573;1374;82430000;;1
2008;152339;26000O;26104U;20;09;272;0089;01810000;01810033;5
2008;130118;26000O;26104U;20;09;272;0089;01810000;;5
2008;830666;26000O;26104U;20;12;301;0750;20040000;20040033;4
2008;828079;26000O;26104U;20;12;301;0750;20040000;;4
2008;894613;26000O;26105U;10;12;122;0750;09HB0000;09HB0001;5
2008;894612;26000O;26105U;10;12;122;0750;09HB0000;;5
2008;893182;26000O;26105U;10;12;122;1374;09HB0000;09HB0001;5
2008;845809;26000O;26105U;10;12;122;1374;09HB0000;;5
