codibge;name;address;address2;city;state;zip;country;phone;fax;url;category;tags;description;special;lat;lng
1200013;Biblioteca Pública Municipal;Rua José de Deus;s/n;Acrelândia;Acre;69945-000;Brazil;(68) 3235-1430;;;0;AC;;0;;
1200138;Biblioteca Pública Municipal Professor Natal Moura Cavalcante;Rua Raio do Sol;s/n;Bujari;Acre;69923-000;Brazil;(68) 9238-7252;;;0;AC;;0;;
1200179;Biblioteca Municipal de Capixaba;Trav. Gavião;s/n;Capixaba;Acre;69922-000;Brazil;(68) 8415-6205;;;0;AC;;0;;
1200203;Biblioteca Municipal Dom José Hascher;Av. Rodrigues Alves;295;Cruzeiro do Sul;Acre;69980-000;Brazil;(68) 9983-1466;(68) 3322-1262;;0;AC;;0;;
1200351;Biblioteca Pública Municipal Lacyr Freitas Duvale;Rua 5 de Novembro;47;Marechal Thaumaturgo;Acre;69983-000;Brazil;(68) 3325-1012;;;0;AC;;0;;
1200385;Biblioteca Pública Municipal Arantes Meira;Rua Diamantino Augusto de Macedo;s/n;Plácido de Castro;Acre;69928-000;Brazil;;;;0;AC;;0;;
1200393;Biblioteca Municipal Clotilde Ribeiro de Moura;Pç. Vicente Lopes;s/n;Porto Walter;Acre;69982-000;Brazil;(68) 3325-8102;;;0;AC;;0;;
1200401;Biblioteca Pública Municipal de Rio Branco;Rua Alvorada;492;Rio Branco;Acre;69909-380;Brazil;(68) 3223-3923;;;0;AC;;0;;
1200401;Biblioteca Pública Municipal Luís de Carvalho Fontenele;Rua Doutor Ary Rodrigues;669;Rio Branco;Acre;69900-190;Brazil;(68) 3227-8893;(68) 3227-1636;;0;AC;;0;;
1200450;Biblioteca Pública Municipal Luiza Batista Medeiros;Av. Castelo Branco;s/n;Senador Guiomard;Acre;69192-500;Brazil;(68) 3232-3646;;;0;AC;;0;;
2700102;Biblioteca Pública Municipal Doutor Guedes de Miranda;Rua Barão da Água Branca;s/n;Água Branca;Alagoas;57490-000;Brazil;(82) 3644-1138;(82) 3644-1138;;0;AL;;0;;
2700201;Biblioteca Pública Municipal Aurélio Buarque de Holanda;Av. Fernandes Lima;s/n;Anadia;Alagoas;57660-000;Brazil;(82) 9949-4622;;;0;AL;;0;;
2700300;Biblioteca Pública Municipal Professor Pedro Reis;Rua Esperidião Rodrigues;275;Arapiraca;Alagoas;57300-000;Brazil;(82) 3521-2353;;;0;AL;;0;;
2700508;Biblioteca Pública Municipal;Av. Benedito Casado dos Santos;s/n;Barra de Santo Antônio;Alagoas;57000-925;Brazil;(82) 3291-1140;;;0;AL;;0;;
2700607;Biblioteca Pública Municipal Rosa Vidal da Costa Cruz;Rua Anísio Moreira Borges;s/n;Barra de São Miguel;Alagoas;57180-000;Brazil;(82) 3272-1523;;;0;AL;;0;;
2700706;Biblioteca Pública Municipal de Batalha;Av. Paulo Dantas;137;Batalha;Alagoas;57420-000;Brazil;;;;0;AL;;0
2700805;Biblioteca Pública Municipal;Rua Melquíades de Barros;s/n;Belém;Alagoas;57630-000;Brazil;(82) 3525-1196;;;0;AL;;0
2700904;Biblioteca Pública Municipal de Belo Monte;Rua do Comércio;s/n;Belo Monte;Alagoas;57435-000;Brazil;;;;0;AL;;0
2701001;Biblioteca Pública Municipal Graciliano Ramos;Rua Manoel Silva Teixeira;s/n;Boca da Mata;Alagoas;57680-000;Brazil;(82) 3279-1585;(82) 3279-1585;;0;AL;;0
2701100;Biblioteca Municipal Prefeito João Fernandes Lins;Rua Marechal Castelo Branco;s/n;Branquinha;Alagoas;57830-000;Brazil;(82) 3280-1270;(82) 3280-1270;;0;AL;;0
2701308;Biblioteca Pública Municipal Jorge Ribeiro Toledo;Av. Guadalajara;s/n;Cajueiro;Alagoas;57770-000;Brazil;(82) 9948-6908;;;0;AL;;0
2701357;Biblioteca Pública Municipal Maria Joaquina Rufino;Rua Epitácio Pessoa;80;Campestre;Alagoas;57968-000;Brazil;;;;0;AL;;0
2701407;Biblioteca Municipal Cândida Maria da Silva Souza;Rua 8 de Junho;s/n;Campo Alegre;Alagoas;57250-000;Brazil;;;;0;AL;;0
2701407;Biblioteca Pública Municipal Cônego Júlio de Albuquerque;Rua Maravilha;s/n;Campo Alegre;Alagoas;57250-000;Brazil;;;;0;AL;;0
2701506;Biblioteca Municipal João Ferreira Cavalcante;Pç. Santa Luzia;s/n;Campo Grande;Alagoas;57350-000;Brazil;;;;0;AL;;0
2701605;Biblioteca Pública Municipal Moreno Brandão;Av. Joaquim Tete;s/n;Canapi;Alagoas;57530-000;Brazil;(82) 3646-1230;(82) 3646-1230;;0;AL;;0
2701704;Biblioteca Pública Municipal Monsenhor Tertuliano Passos Lima;Av. Paulo M. de Albuquerque Lot. Claudina;75;Capela;Alagoas;57780-000;Brazil;(82) 3287-1406;;;0;AL;;0
2701803;Biblioteca Pública Municipal Geraldo Novaes Agra;Av. Adão Vieira;s/n;Carneiros;Alagoas;57535-000;Brazil;(82) 3627-1155;(82) 3627-1239;;0;AL;;0
2701902;Biblioteca Pública Municipal Gregório Vasconcelos;Rua Padre Dimas;s/n;Chã Preta;Alagoas;57600-000;Brazil;;;;0;AL;;0
2702009;Biblioteca Municipal Tancredo Neves;Pç. Antônio Pedro de Albuquerque;s/n;Coité do Nóia;Alagoas;57325-000;Brazil;(82) 3526-1132;;;0;AL;;0
2702108;Biblioteca Pública Municipal Neide Alcântara Oliveira;Pç. Dom Pedro II;s/n;Colônia Leopoldina;Alagoas;57975-000;Brazil;325-5145;;;0;AL;;0
