"ACELERAÇÃO DE ESTUDOS","ACELERAÇÃO DE ESTUDOS"
"ACESSIBILIDADE - SEESP","ACESSIBILIDADE - SEESP"
"ACOMPANHAMENTO E AVALIAÇÃO DO PME","ACOMPANHAMENTO E AVALIAÇÃO DO PME"
"ACOMPANHAMENTO,   SUPERVISÃO E AVALIAÇÃO","ACOMPANHAMENTO,   SUPERVISÃO E AVALIAÇÃO"
"ADEQUAÇÃO DOS ESPAÇOS ESCOLARES","ADEQUAÇÃO DOS ESPAÇOS ESCOLARES"
"ADEQUAÇÃO E CONSTRUÇÃO DE ESPAÇOS PARA A PRÁTICA DESPORTIVA","ADEQUAÇÃO E CONSTRUÇÃO DE ESPAÇOS PARA A PRÁTICA DESPORTIVA"
"ALFABETIZAÇÃO NO CONTEXTO DE LETRAMENTO","ALFABETIZAÇÃO NO CONTEXTO DE LETRAMENTO"
"AMPLIAÇÃO DO ACERVO","PNBE"
"ASSISTENCIA FINANCEIRA DO MEC","ASSISTENCIA FINANCEIRA DO MEC"
"Assistência financeira  do MEC","ASSISTENCIA FINANCEIRA DO MEC"
"Assistência financeira do MEC","ASSISTENCIA FINANCEIRA DO MEC"
"ASSISTENCIA TÉCNICA DO MEC","ASSISTENCIA TÉCNICA DO MEC"
"Assistência técnica do MEC","ASSISTENCIA TÉCNICA DO MEC"
"AVALIAÇÃO ESTÁGIO PROBATÓRIO","AVALIAÇÃO ESTÁGIO PROBATÓRIO"
"AVALIAÇÃO INSTITUCIONAL","AVALIAÇÃO INSTITUCIONAL"
"BIBLIOTECA ESCOLAR - FNDE","PNBE"
"CAMPO","CAMPO"
"CME, CAE E CE","CME, CAE E CE"
"CME (quando houver) , CE e Conselho do FUNDEB","CME (quando houver) , CE e Conselho do FUNDEB"
"COMPRA DE MATERIAIS E EQUIPAMENTOS","EQUIPAMENTOS PARA AS ESCOLAS"
"COM VIDA","COM VIDA"
"CONEXÃO DE SABERES","CONEXÃO DE SABERES"
"CONSELHO MUNICIPAL DE EDUCAÇÃO, CONSELHO DE ALIMENTAÇÃO ESCOLAR  E CON","CONSELHO MUNICIPAL DE EDUCAÇÃO, CONSELHO DE ALIMENTAÇÃO ESCOLAR  E CON"
"CONSTRUÇÃO DE INSTITUIÇÕES EDUCACIONAIS","CONSTRUÇÃO DE INSTITUIÇÕES EDUCACIONAIS"
"CRIAÇÃO DO PLANO MUNICIPAL DE EDUCAÇÃO","PROGRAMA DE APOIO NA ELABORAÇÃO DO PLANO MUNICIPAL DE EDUCAÇÃO"
