Id;Nome;Duração;Início;Término;Predecessoras;Nível da estrutura de tópicos;Anotações
1;Acompanhamento do Desenvolvimento dos Manuais;83,5d;1/1/2007 09:00;3/5/2007 14:00;;1;
2;Acompanhamento do Desenvolvimento dos Manuais 1;,2d;29/3/2007 09:00;29/3/2007 10:36;;2;
3;Acompanhamento do Desenvolvimento dos Manuais 2;,2d;5/4/2007 09:00;5/4/2007 10:36;;2;
4;Acompanhamento do Desenvolvimento dos Manuais 3;,2d;12/4/2007 09:00;12/4/2007 10:36;;2;
5;Acompanhamento do Desenvolvimento dos Manuais 4;,2d;19/4/2007 09:00;19/4/2007 10:36;;2;
6;Acompanhamento do Desenvolvimento dos Manuais 5;,2d;26/4/2007 09:00;26/4/2007 10:36;;2;
7;Arquitetura e Padrões SIMEC ;15,d;9/4/2007 09:00;30/4/2007 09:00;;2;
8;Documento de arquitetura de software;5,d;9/4/2007 09:00;13/4/2007 18:00;;3;
9;Padrões de Interface;2,d;9/4/2007 09:00;10/4/2007 18:00;;3;
10;Padrões de banco de dados;,d;30/4/2007 09:00;30/4/2007 09:00;9;3;
11;Organização do Manual;,d;30/4/2007 09:00;30/4/2007 09:00;;4;
12;Manual impresso disponível;,d;30/4/2007 09:00;30/4/2007 09:00;;5;
13;Módulo de Segurança;22,d;28/3/2007 09:00;30/4/2007 09:00;;2;
14;Documento de Visão;1,d;28/3/2007 09:00;28/3/2007 18:00;;3;
15;Diagrama de caso de uso;2,d;29/3/2007 09:00;30/3/2007 18:00;14;3;
16;Modelo de Dados;1,d;2/4/2007 09:00;2/4/2007 18:00;15;3;
17;Dicionário de Dados;1,d;3/4/2007 09:00;3/4/2007 18:00;16;3;
18;Layout de arquivos - (para o caso de integração com outros sistemas;,d;3/4/2007 18:00;3/4/2007 18:00;17;3;
19;Especificação dos Casos de Uso;2,d;4/4/2007 09:00;5/4/2007 18:00;18;3;
20;Organização da documentação;2,d;9/4/2007 09:00;10/4/2007 18:00;19;3;
21;Manual impresso disponível;,d;30/4/2007 09:00;30/4/2007 09:00;;3;
22;MÓDULO DE ELABORAÇÃO E REVISÃO DO PPA;13,5d;1/1/2007 09:00;18/1/2007 14:00;;2;Gestores: CPS - Prof. Leo Kessel...
23;Documento de Visão;2,d;1/1/2007 09:00;2/1/2007 18:00;;3;
24;Diagrama de caso de uso;2,d;3/1/2007 09:00;4/1/2007 18:00;23;3;
25;Modelo de Dados;2,d;5/1/2007 09:00;8/1/2007 18:00;24;3;
26;Dicionário de Dados;4,d;9/1/2007 09:00;12/1/2007 18:00;25;3;
27;Layout de arquivos - (para o caso de integração com outros sistemas;1,d;15/1/2007 09:00;15/1/2007 18:00;26;3;
28;Especificação dos Casos de Uso;2,d;16/1/2007 09:00;17/1/2007 18:00;27;3;
29;Organização do Manual;,5d;18/1/2007 09:00;18/1/2007 14:00;28;3;
30;Manual impresso disponível;,d;18/1/2007 14:00;18/1/2007 14:00;29;3;
31;MÓDULO DE GERENCIAMENTO FINANCEIRO;3,5d;2/4/2007 09:00;5/4/2007 14:00;;2;Gestores: CGF - Solange
32;Documento de Visão;1,d;2/4/2007 09:00;2/4/2007 18:00;;3;
33;Diagrama de caso de uso;,d;2/4/2007 18:00;2/4/2007 18:00;32;3;
34;Modelo de Dados;,d;2/4/2007 18:00;2/4/2007 18:00;33;3;
35;Dicionário de Dados;,d;2/4/2007 18:00;2/4/2007 18:00;34;3;
36;Layout de arquivos - (para o caso de integração com outros sistemas);2,d;3/4/2007 09:00;4/4/2007 18:00;35;3;
37;Especificação dos Casos de Uso;,d;4/4/2007 18:00;4/4/2007 18:00;36;3;
38;Organização do Manual;,5d;5/4/2007 09:00;5/4/2007 14:00;37;3;
39;Manual impresso disponível;,d;5/4/2007 14:00;5/4/2007 14:00;38;3;
40;MÓDULO DE PROJETOS ESPECIAIS;15,5d;28/3/2007 09:00;19/4/2007 14:00;;2;O módulo de projetos especiais tem por finalidade permitir aos usuários do Simec criar, planejar e acompanhar os projetos, afetos ou não ao PPA, dentro da metodologia de gerência preconizada pelo PMI. Deste modo, ele aborda as áreas de conhecimento com...
41;Documento de Visão;2,d;28/3/2007 09:00;29/3/2007 18:00;;3;
42;Diagrama de caso de uso;2,d;5/4/2007 14:00;10/4/2007 14:00;39;3;
43;Modelo de Dados;2,d;10/4/2007 14:00;12/4/2007 14:00;42;3;
44;Dicionário de Dados;2,d;12/4/2007 14:00;16/4/2007 14:00;43;3;
45;Layout de arquivos - (para o caso de integração com outros sistemas;,d;16/4/2007 14:00;16/4/2007 14:00;44;3;
46;Especificação dos Casos de Uso;2,d;16/4/2007 14:00;18/4/2007 14:00;45;3;
